"Variable","CLUSTER_1","CLUSTER_2","CLUSTER_3","CLUSTER_4","CLUSTER_5","CLUSTER_6"
"Intercept",2.18266046515868,0.105049374808816,1.43601873816673,-6.39441697663232,-0.197216899362979,0.5596699544069
"B11",-0.000237702224943919,-0.00128960373135347,0,0,0,0
"B12",0,0,0,0.00218941283704427,0,0.000348745715591686
"B2",0,-0.000696209371369145,-0.000516581183307178,-0.00386756878642277,0,0
"B3",0,0,0,0.000501109495642708,0.00112723995563402,0
"B4",0.00041436854470601,0,0.000533990652057739,0,0,0
"B5",0,0,0,0.00113283791019156,0,0
"B6",0,-0.000191787204749819,0,0,0,0
"B7",0,0,0,0,0,0
"B8A",0,0,0,0.00118839817599726,0,0
"B8",0,0,0,0.00028209765643639,2.58463916497852e-06,0
"B2.2",3.45469686898179e-07,0,-9.10082475519447e-08,-9.932659473213e-08,-4.45944583011442e-07,0
"B3.2",2.9361293359071e-07,0,0,1.11677308610605e-06,1.46960665737542e-07,-9.07914529499324e-08
"B4.2",1.25092714583697e-07,-2.4779714915286e-07,1.27705806993417e-07,-8.25371797121594e-07,0,-4.19906568563379e-07
"B5.2",-3.18777707757714e-07,-5.98982533538807e-08,-4.09546285480343e-07,2.02560724090481e-07,-8.57687220988368e-07,0
"B6.2",1.24538915737036e-07,0,0,4.17470696137249e-08,0,0
"B7.2",0,1.61615906874321e-07,0,2.28441200441829e-11,6.48012767415725e-08,0
"B8.2",0,0,2.91332833802084e-07,0,4.07607275871996e-07,0
"B8A.2",9.576104023149e-10,2.32070853775723e-07,3.51198335861395e-08,-3.95661739594067e-07,0,2.68565548326889e-07
"B11.2",-8.12396116843647e-07,0,-1.82747994679648e-11,-9.05586140727322e-07,-1.68378309895871e-06,0
"B12.2",3.14112241649931e-07,0,-4.42227364225931e-08,0,0,3.1236212836729e-09
"B2.0.5",-0.0739634844484926,-0.00860297703998381,0,-0.0398766394828256,-0.0257087096782209,0.0243184078940828
"B3.0.5",0,0.0421715942127628,0,0,0.0377073512650085,0.00732260777033603
"B4.0.5",0.0310440790197046,0.0366570087600563,0.0298708635965459,0.0821854650947405,0,0
"B5.0.5",0,0,0,0.0956058717525666,0,0
"B6.0.5",0,0,0,-0.054594126883446,0,0
"B7.0.5",0,0,0,-0.0474861207828457,0,0.0093762670531755
"B8.0.5",-0.020119622145628,0,0,0,0,0.00259374065063964
"B8A.0.5",0,-0.00305192596906344,0,0,0,0.00901547892038325
"B11.0.5",0,-0.00147522902656296,0,-0.125404597443125,0,0
"B12.0.5",0,0.0836644810959901,0,0.0224356840214581,0.0279735668833976,0.0347409024127317
"B3.B2",0.451375210065506,0.00155021860518462,0.010949262582604,2.8521380408889,-0.00361409657153069,0
"B4.B2",-0.742406904992325,0,0,-2.35180888872754,0,-2.0361349900649e-05
"B5.B2",0,-0.000828870190223685,-0.190690757162376,-0.178724290077328,-0.00673358122050773,0
"B6.B2",0,0,-0.126001647208471,0,0,-0.158511310344914
"B7.B2",0.167312181949929,0.0536380574886463,0,0.174627961320676,0.228297079987537,0
"B8.B2",0.0151620933737891,0,0,-0.615065042107932,0,0
"B8A.B2",0,0,0,0.392343280790726,0,0.301372251466145
"B11.B2",0.379029702806063,0,0,0,0.00205154216577993,-0.00691806255198835
"B12.B2",-0.0714132430848797,0,0.716908471464028,-2.74156290283671,0,0
"B4.B3",0.229265645149907,-0.286774616426083,0,9.36836346422989,0.882755357001169,0
"B5.B3",1.33213896938776,0.978557077521857,-0.370944756942478,-4.56333720872642,0,0.743516223772434
"B6.B3",0,0,0.129499066351214,0,0,0
