Variable,CLUSTER_1,CLUSTER_2,CLUSTER_3,CLUSTER_4,CLUSTER_5,CLUSTER_6
Intercept,-2.841047169,0.721811702,1.036546301,-0.005700094,1.035537899,1.725400785
B11,0,0,0,0,0.001991868,-1.39E-05
B12,0.000210041,0,0.000222417,6.91E-05,0.001277406,0
B2,0,0,0,0,-0.000509504,0
B3,0,0,0,0,-0.000810355,0
B4,0.000207738,0.000304018,0,0,0.000936667,0
B5,-0.000754913,0,0,0,-5.21E-08,0
B6,0.000697969,0,0,0,-0.000247108,0
B7,0,0,0,0,0,2.57E-07
B8A,0.001123743,0,0,0,-0.000581351,0
B8,0,0,0,0,0,0
B2.2,-1.26E-06,-1.79E-07,0,-2.41E-07,9.94E-09,2.25E-07
B3.2,1.32E-06,0,-1.54E-07,0,2.57E-07,-3.24E-08
B4.2,7.37E-09,0,-6.34E-08,0,1.34E-07,-4.49E-07
B5.2,-1.02E-07,0,-6.39E-08,0,-6.64E-07,-8.07E-08
B6.2,0,0,0,0,-8.78E-09,0
B7.2,0,0,0,0,3.58E-07,1.32E-07
B8.2,-1.30E-07,0,1.21E-07,0,1.22E-07,-1.23E-07
B8A.2,-1.14E-07,0,0,0,1.58E-07,1.51E-07
B11.2,-5.40E-07,0,0,0,-1.20E-06,0
B12.2,-7.40E-07,0,6.84E-07,0,-3.52E-07,0
B2.0.5,0,0,0,0,-0.018152152,0
B3.0.5,-0.017980471,0.006091754,0,0.029695617,-2.38E-06,0
B4.0.5,0.030003445,0.02692358,0,0.013141079,0.063989439,0.027599692
B5.0.5,-0.01594371,0,0.019155812,0,0.010768882,0
B6.0.5,0,0,0,0,0,0
B7.0.5,-0.017532275,0,0.02136755,0,0,0.003373748
B8.0.5,-0.052935124,0,0,0,0.004667826,0.001731072
B8A.0.5,0,0,0.004071141,0,0,0
B11.0.5,-0.034041065,0,0,0,-0.029461903,-0.034902954
B12.0.5,0.050418943,0,0.007805795,0.015662754,-0.054765647,0.107342014
B3.B2,2.187508381,0,-0.003209667,0,0,0
B4.B2,-1.679564611,0,0,0,0.024675186,0
B5.B2,0,0.001433375,-0.004901733,0,0,-0.001542593
B6.B2,0,0.087144674,-0.08412537,0,-0.091270019,0
B7.B2,0,0,0,0,-0.093036409,0.007141254
B8.B2,-0.234946545,0.033605325,0,0,-0.107590524,0
B8A.B2,0,0,0.447306168,0,-0.36707467,0
B11.B2,-0.141462422,0,0,0,0.02937274,0
B12.B2,-0.058196357,0,0,0,0.002812086,0.0014015
B4.B3,1.975263198,0.255895209,0,0.558064145,0.071519877,-1.467825028
B5.B3,2.16186837,0,0.067500176,0,-1.655527288,1.631064565
B6.B3,0,0,0,-0.577364191,0,0
B7.B3,-0.016974123,0,0.797060835,0,1.651216374,1.254977548
B8.B3,-0.035634628,0,0.362842471,0,1.428404697,0.036668129
B8A.B3,0,0,0.009751657,0,1.003728016,0
B11.B3,0,-0.224848959,-0.348518419,0,7.76E-05,-1.590383639
B12.B3,2.38872127,0,0,0,1.388863583,0
B5.B4,-1.945232374,-0.25530789,0.453499978,-0.428122091,1.42870782,-0.582783011
B6.B4,0,-0.000214605,-0.202094534,0,-0.056696507,-1.623034887
B7.B4,0.000129809,-0.076243475,0,0,-0.510298793,0.040412055
B8.B4,1.800539304,0,-0.429904185,0.010433958,-1.150301245,0.809251243
B8A.B4,0,-0.264081142,-1.072383799,0,0,0
B11.B4,-0.321030175,0,0,0.000678484,-0.016023296,0
B12.B4,0.594699708,0,-0.424231922,0.000415899,-1.786829852,-0.213864338
B6.B5,0,0,-0.822780873,0,0.25968474,-0.254424151
B7.B5,-1.557530272,0,0,0,0.2276481,0.72347383
B8.B5,1.434589268,0,0,0,2.032924109,0.04254011
B8A.B5,0.565766853,0,-0.044118412,0,-3.563590462,-1.551621835
B11.B5,-0.666019801,0,0.012206017,0,0,0
B12.B5,0,0,0,0,1.682166682,0.012800185
B7.B6,1.325479969,0,0,0,-0.159572821,0.015072394
B8.B6,0.83407861,0,0,0,-0.034421852,-0.073843206
B8A.B6,-3.64603898,0,-0.055344355,0,0,0.074977024
B11.B6,0.126383113,0,0.000281062,0,0,0
B12.B6,0,0,0,0,0,0.001394748
B8.B7,0,0,-0.212432164,0,-0.970811044,0
B8A.B7,0,0,0,0,0.476761317,0
B11.B7,0,0,0.003649342,0,0,-0.005655906
B12.B7,-0.519800236,0,0,0,0.001556891,0.009753623
B8A.B8,2.844151253,0,0.239679154,-0.104667045,0.252779156,-0.288979027
B11.B8,0.088232705,0,0,0,0,0
B12.B8,-0.913150673,0,-0.002142795,0,-0.009386247,0
B11.B8A,1.042859797,0,0.001084115,0,0.00092818,-0.001448084
B12.B8A,-0.818725908,0,0,0,0,0
B12.B11,0,0,0,0.323599792,0.020730518,-0.004002031
