Variable,CLUSTER_1,CLUSTER_2,CLUSTER_3,CLUSTER_4,CLUSTER_5,CLUSTER_6
Intercept,1.9744E+00,-5.2547E+00,1.0420E+00,1.6017E+00,5.6064E-01,-3.4526E-01
B11,-3.8511E-04,-4.8305E-04,0.0000E+00,-2.4172E-03,3.4344E-03,0.0000E+00
B12,0.0000E+00,2.7261E-03,2.8045E-04,6.1912E-04,1.4455E-03,0.0000E+00
B2,0.0000E+00,1.0404E-03,0.0000E+00,-3.3121E-03,-5.9853E-04,-1.6471E-04
B3,-1.3525E-03,-6.2413E-09,0.0000E+00,4.8626E-03,-2.0862E-03,2.5236E-06
B4,0.0000E+00,-1.1615E-08,0.0000E+00,8.8925E-03,1.3054E-03,0.0000E+00
B5,-5.1878E-04,-2.6799E-03,0.0000E+00,-3.7436E-03,-2.6442E-05,0.0000E+00
B6,0.0000E+00,9.1974E-04,0.0000E+00,-1.4720E-03,-7.3261E-04,0.0000E+00
B7,0.0000E+00,0.0000E+00,0.0000E+00,1.5651E-03,0.0000E+00,0.0000E+00
B8A,0.0000E+00,3.3843E-03,0.0000E+00,-7.4281E-04,-6.9203E-04,0.0000E+00
B8,0.0000E+00,-2.5916E-04,0.0000E+00,0.0000E+00,4.1399E-04,0.0000E+00
B2.2,5.9873E-07,-1.8894E-06,0.0000E+00,6.1149E-07,0.0000E+00,-2.0855E-07
B3.2,-5.5536E-07,1.4954E-06,-1.7450E-07,-1.4286E-06,7.1411E-07,0.0000E+00
B4.2,0.0000E+00,-1.4990E-07,-4.9635E-08,-4.6062E-06,1.9186E-08,-1.7329E-07
B5.2,-4.0212E-07,2.6292E-07,-1.0877E-07,3.4671E-06,-7.5196E-07,0.0000E+00
B6.2,6.3090E-07,-3.9130E-08,0.0000E+00,-3.0962E-07,-2.6190E-08,0.0000E+00
B7.2,0.0000E+00,-2.9281E-11,0.0000E+00,-1.1091E-07,5.1256E-07,0.0000E+00
B8.2,-7.9576E-07,0.0000E+00,1.5391E-07,-1.6835E-06,0.0000E+00,1.1333E-07
B8A.2,6.3382E-07,-5.5589E-07,0.0000E+00,2.2030E-06,2.2217E-07,0.0000E+00
B11.2,2.7261E-07,3.4449E-07,0.0000E+00,2.3413E-06,-1.7236E-06,0.0000E+00
B12.2,-2.8077E-08,-3.4531E-06,6.9933E-07,-2.5683E-06,-8.1270E-07,0.0000E+00
B2.0.5,0.0000E+00,6.7476E-02,0.0000E+00,1.0847E-01,-8.6003E-03,0.0000E+00
B3.0.5,-5.6686E-05,-4.8884E-02,0.0000E+00,-1.8676E-01,-9.1606E-03,4.5678E-02
B4.0.5,1.4281E-01,1.1350E-01,0.0000E+00,0.0000E+00,8.0803E-02,5.7726E-03
B5.0.5,0.0000E+00,-1.7664E-02,1.7561E-02,-7.9057E-02,4.0971E-02,0.0000E+00
B6.0.5,0.0000E+00,-2.0124E-03,0.0000E+00,-5.0421E-02,0.0000E+00,-4.0216E-03
B7.0.5,0.0000E+00,-5.4554E-02,2.2807E-02,1.2908E-01,0.0000E+00,0.0000E+00
B8.0.5,0.0000E+00,-1.3323E-01,0.0000E+00,3.6530E-02,1.4207E-02,0.0000E+00
B8A.0.5,1.0388E-02,8.0029E-03,8.3291E-03,-1.0008E-01,-2.0144E-02,0.0000E+00
B11.0.5,-1.1062E-01,-1.8053E-01,0.0000E+00,3.4572E-06,-4.9271E-02,0.0000E+00
B12.0.5,1.7204E-01,1.8826E-01,6.5234E-03,5.2966E-02,-7.5669E-02,2.1719E-02
B3.B2,4.0431E-05,3.5467E+00,0.0000E+00,-3.3887E-02,0.0000E+00,-9.8295E-04
B4.B2,-9.5737E-04,-2.3504E+00,0.0000E+00,4.1381E-02,5.0338E-02,2.0892E-02
B5.B2,-2.0966E-03,0.0000E+00,-1.0246E-02,-1.4381E-02,0.0000E+00,-1.4054E-04
B6.B2,0.0000E+00,-7.2437E-02,-8.7345E-02,6.7805E-01,-1.3702E-01,-2.8146E-01
B7.B2,0.0000E+00,2.1197E-01,0.0000E+00,-8.4000E-02,6.6236E-03,0.0000E+00
B8.B2,-2.3879E-01,-4.3967E-01,0.0000E+00,1.4874E-02,4.7898E-03,2.5400E-01
B8A.B2,3.7913E-01,7.2915E-01,4.6768E-01,-8.7578E-02,-5.1006E-01,0.0000E+00
B11.B2,-1.3679E-02,3.0642E-01,0.0000E+00,-2.0211E-02,0.0000E+00,-2.5306E-02
B12.B2,1.1001E-02,-1.7741E+00,0.0000E+00,6.2128E-02,0.0000E+00,0.0000E+00
B4.B3,-3.6634E+00,2.3669E+00,0.0000E+00,-6.6984E-01,-2.3233E-01,9.6565E-01
B5.B3,2.9789E+00,5.1585E+00,8.3020E-02,-4.8430E-02,-2.1205E+00,0.0000E+00
B6.B3,0.0000E+00,-2.3879E-01,0.0000E+00,1.6584E-01,0.0000E+00,-7.7780E-01
